ID,Lake,Date,Site,Gear,Gear Type,Standard,Net nights,Depth,american eel,banded killifish,black crappie,blueback herring,bluegill,bowfin,brown bullhead,burbot,chain pickerel,channel catfish,Cisco,Common carp,darter,emerald shiner,freshwater drum,gizzard shad,golden shiner,green sunfish,largemouth bass,largemouth bass YOY,Lepomis YOY,logperch,longnose gar,northern pike,pumpkinseed,redhorse,rock bass,round goby,smallmouth bass,smallmouth bass YOY,spottail shiner,walleye,walleye YOY,white bass,white perch,white sucker,yellow bullhead,yellow perch,yellow perch YOY,Other,Latitude,Longitude,Crew,Comments
54994756,Oneida Lake,9/20/17,North Bay,TN,stdfyke1,fyke,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,3,0,0,4,0,1,0,0,3,0,0,24,0,0,43.22188333,-75.7942,Brooking,
54994757,Oneida Lake,9/20/17,North Bay,TN,stdfyke2,fyke,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,136,0,0,0,0,0,4,122,0,1,0,0,0,0,0,0,0,0,1,1 bluntnose minnow,43.22188333,-75.7942,Brooking,
54994758,Oneida Lake,9/21/17,Cleveland,TN,stdfyke1,fyke,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,0,0,19,0,0,43.23093333,-75.88416667,Brooking,
54994759,Oneida Lake,9/21/17,Cleveland,TN,stdfyke2,fyke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4,0,0,0,0,3,78,0,2,0,0,0,0,0,0,0,0,1,0,43.23093333,-75.88416667,Brooking,
54994760,Oneida Lake,9/21/17,Constantia,TN,stdfyke1,fyke,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,8,0,0,22,0,0,43.24601667,-75.9952,Brooking,
54994761,Oneida Lake,9/21/17,Constantia,TN,stdfyke2,fyke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,229,2,0,0,5,0,13,48,0,2,0,0,0,0,1,0,0,17,60,0,43.24601667,-75.9952,Brooking,
54994762,Oneida Lake,9/21/17,Taft Bay,TN,stdfyke1,fyke,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,2,1,0,4,0,0,43.24361667,-75.947,Brooking,
54994763,Oneida Lake,9/21/17,Taft Bay,TN,stdfyke2,fyke,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,102,6,0,0,0,0,1,24,0,5,4,0,0,0,1,0,1,3,18,2 bluntnose minnow,43.24361667,-75.947,Brooking,
54994764,Oneida Lake,9/22/17,Big Bay,TN,stdfyke1,fyke,1,1,0,0,0,0,15,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,8,10,0,1 chubsucker,43.25301667,-76.1124,Brooking,
54994765,Oneida Lake,9/22/17,Big Bay,TN,stdfyke2,fyke,1,1,0,0,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,43.25301667,-76.1124,Brooking,
54994766,Oneida Lake,9/22/17,Poddygut Bay,TN,stdfyke1,fyke,1,1,0,0,4,0,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,3,4,0,0,43.24508333,-76.09171667,Brooking,
54994767,Oneida Lake,9/22/17,Poddygut Bay,TN,stdfyke2,fyke,1,1,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,9,0,1,0,0,0,0,0,1,0,0,0,1,2,3,3 chubsucker,43.24508333,-76.09171667,Brooking,
54994768,Oneida Lake,9/22/17,Three Mile Bay,TN,stdfyke1,fyke,1,1,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,39,0,12,0,0,0,0,0,0,0,0,1,6,14,0,0,43.24025,-76.04898333,Brooking,
54994769,Oneida Lake,9/22/17,Three Mile Bay,TN,stdfyke2,fyke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.24025,-76.04898333,Brooking,
54994770,Oneida Lake,9/26/17,Beach Road,TN,stdfyke1,fyke,1,1,0,0,5,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,28,0,4,0,0,4,0,0,0,0,1,0,0,54,0,0,43.21963333,-76.08771667,Brooking,
54994771,Oneida Lake,9/26/17,Beach Road,TN,stdfyke2,fyke,1,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,7,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,1,3,0,0,43.21963333,-76.08771667,Brooking,
54994772,Oneida Lake,9/26/17,Lower South Bay,TN,stdfyke1,fyke,1,1,0,0,3,0,22,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,1,0,0,0,0,0,5,0,1 PSXGSF,43.19995,-76.07263333,Brooking,
54994773,Oneida Lake,9/26/17,Lower South Bay,TN,stdfyke2,fyke,1,1,0,25,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,3,129,0,0,0,5,0,4,3,0,0,0,0,0,0,0,0,1,2,10,0,43.19995,-76.07263333,Brooking,
54994774,Oneida Lake,9/26/17,Maple bay,TN,stdfyke1,fyke,1,1,0,0,5,0,34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,25,0,0,0,0,1,0,2,0,0,0,0,0,22,0,1 PSXGSF,43.17991667,-76.00253333,Brooking,
54994775,Oneida Lake,9/26/17,Maple bay,TN,stdfyke2,fyke,1,1,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,10,46,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,6,14,0,43.17991667,-76.00253333,Brooking,
54994776,Oneida Lake,9/27/17,Dutchman Island,TN,stdfyke1,fyke,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,4,1,0,3,0,0,0,0,1,1,2,25,0,0,43.16986667,-75.92108333,Brooking,
54994777,Oneida Lake,9/27/17,Dutchman Island,TN,stdfyke2,fyke,1,1,0,46,0,0,15,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,212,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,1,1,2 bluntnose minnow,43.16986667,-75.92108333,Brooking,
54994778,Oneida Lake,9/27/17,Fisher Bay,TN,stdfyke1,fyke,1,1,0,0,13,0,22,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,1,0,0,3,0,0,17,0,0,43.18166667,-75.9848,Brooking,
54994779,Oneida Lake,9/27/17,Fisher Bay,TN,stdfyke2,fyke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.18166667,-75.9848,Brooking,
54994780,Oneida Lake,9/27/17,Shackelton Point Swimming area,TN,stdfyke1,fyke,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,1,0,9,0,0,0,0,40,1,0,37,0,0,43.1727,-75.9295,Brooking,
54994781,Oneida Lake,9/27/17,Shackelton Point Swimming area,TN,stdfyke2,fyke,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,3,0,0,0,0,0,1,0,0,0,0,43.1727,-75.9295,Brooking,
